veg_id,version,month_id,start_date,through_date,best
19,seeds,1,1,31,No
39,seeds,1,1,31,No
40,seeds,1,1,31,No
48,seeds,1,1,31,No
47,seeds,1,1,31,No
19,seeds,2,1,28,No
39,seeds,2,1,28,No
40,seeds,2,1,28,No
48,seeds,2,1,28,No
2,seeds,2,1,28,Yes
4,crowns,2,1,28,Yes
21,seeds,2,1,28,No
7,seeds,2,1,28,No
29,cloves,2,1,28,No
37,seeds,2,1,28,No
38,seeds,2,1,28,Yes
38,bunches,2,1,28,Yes
38,sets,2,1,28,Yes
42,seeds,2,1,28,Yes
